Company Name,Industry,Symbol,Yahoo_Symbol
360 ONE WAM Ltd.,Financial Services,360ONE,360ONE.NS
ABB India Ltd.,Capital Goods,ABB,ABB.NS
APL Apollo Tubes Ltd.,Capital Goods,APLAPOLLO,APLAPOLLO.NS
AU Small Finance Bank Ltd.,Financial Services,AUBANK,AUBANK.NS
Adani Energy Solutions Ltd.,Power,ADANIENSOL,ADANIENSOL.NS
Adani Enterprises Ltd.,Metals & Mining,ADANIENT,ADANIENT.NS
Adani Green Energy Ltd.,Power,ADANIGREEN,ADANIGREEN.NS
Adani Ports and Special Economic Zone Ltd.,Services,ADANIPORTS,ADANIPORTS.NS
Adani Power Ltd.,Power,ADANIPOWER,ADANIPOWER.NS
Adani Total Gas Ltd.,Oil Gas & Consumable Fuels,ATGL,ATGL.NS
Aditya Birla Capital Ltd.,Financial Services,ABCAPITAL,ABCAPITAL.NS
Alkem Laboratories Ltd.,Healthcare,ALKEM,ALKEM.NS
Ambuja Cements Ltd.,Construction Materials,AMBUJACEM,AMBUJACEM.NS
Apollo Hospitals Enterprise Ltd.,Healthcare,APOLLOHOSP,APOLLOHOSP.NS
Ashok Leyland Ltd.,Capital Goods,ASHOKLEY,ASHOKLEY.NS
Asian Paints Ltd.,Consumer Durables,ASIANPAINT,ASIANPAINT.NS
Astral Ltd.,Capital Goods,ASTRAL,ASTRAL.NS
Aurobindo Pharma Ltd.,Healthcare,AUROPHARMA,AUROPHARMA.NS
Avenue Supermarts Ltd.,Consumer Services,DMART,DMART.NS
Axis Bank Ltd.,Financial Services,AXISBANK,AXISBANK.NS
BSE Ltd.,Financial Services,BSE,BSE.NS
Bajaj Auto Ltd.,Automobile and Auto Components,BAJAJ-AUTO,BAJAJ-AUTO.NS
Bajaj Finance Ltd.,Financial Services,BAJFINANCE,BAJFINANCE.NS
Bajaj Finserv Ltd.,Financial Services,BAJAJFINSV,BAJAJFINSV.NS
Bajaj Holdings & Investment Ltd.,Financial Services,BAJAJHLDNG,BAJAJHLDNG.NS
Bank of Baroda,Financial Services,BANKBARODA,BANKBARODA.NS
Bank of India,Financial Services,BANKINDIA,BANKINDIA.NS
Bharat Dynamics Ltd.,Capital Goods,BDL,BDL.NS
Bharat Electronics Ltd.,Capital Goods,BEL,BEL.NS
Bharat Forge Ltd.,Automobile and Auto Components,BHARATFORG,BHARATFORG.NS
Bharat Heavy Electricals Ltd.,Capital Goods,BHEL,BHEL.NS
Bharat Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,BPCL,BPCL.NS
Bharti Airtel Ltd.,Telecommunication,BHARTIARTL,BHARTIARTL.NS
Billionbrains Garage Ventures Ltd.,Financial Services,GROWW,GROWW.NS
Biocon Ltd.,Healthcare,BIOCON,BIOCON.NS
Blue Star Ltd.,Consumer Durables,BLUESTARCO,BLUESTARCO.NS
Bosch Ltd.,Automobile and Auto Components,BOSCHLTD,BOSCHLTD.NS
Britannia Industries Ltd.,Fast Moving Consumer Goods,BRITANNIA,BRITANNIA.NS
CG Power and Industrial Solutions Ltd.,Capital Goods,CGPOWER,CGPOWER.NS
Canara Bank,Financial Services,CANBK,CANBK.NS
Cholamandalam Investment and Finance Company Ltd.,Financial Services,CHOLAFIN,CHOLAFIN.NS
Cipla Ltd.,Healthcare,CIPLA,CIPLA.NS
Coal India Ltd.,Oil Gas & Consumable Fuels,COALINDIA,COALINDIA.NS
Cochin Shipyard Ltd.,Capital Goods,COCHINSHIP,COCHINSHIP.NS
Coforge Ltd.,Information Technology,COFORGE,COFORGE.NS
Colgate Palmolive (India) Ltd.,Fast Moving Consumer Goods,COLPAL,COLPAL.NS
Container Corporation of India Ltd.,Services,CONCOR,CONCOR.NS
Coromandel International Ltd.,Chemicals,COROMANDEL,COROMANDEL.NS
Cummins India Ltd.,Capital Goods,CUMMINSIND,CUMMINSIND.NS
DLF Ltd.,Realty,DLF,DLF.NS
Dabur India Ltd.,Fast Moving Consumer Goods,DABUR,DABUR.NS
Divi's Laboratories Ltd.,Healthcare,DIVISLAB,DIVISLAB.NS
Dixon Technologies (India) Ltd.,Consumer Durables,DIXON,DIXON.NS
Dr. Reddy's Laboratories Ltd.,Healthcare,DRREDDY,DRREDDY.NS
Eicher Motors Ltd.,Automobile and Auto Components,EICHERMOT,EICHERMOT.NS
Eternal Ltd.,Consumer Services,ETERNAL,ETERNAL.NS
Exide Industries Ltd.,Automobile and Auto Components,EXIDEIND,EXIDEIND.NS
FSN E-Commerce Ventures Ltd.,Consumer Services,NYKAA,NYKAA.NS
Federal Bank Ltd.,Financial Services,FEDERALBNK,FEDERALBNK.NS
Fortis Healthcare Ltd.,Healthcare,FORTIS,FORTIS.NS
GAIL (India) Ltd.,Oil Gas & Consumable Fuels,GAIL,GAIL.NS
GE Vernova T&D India Ltd.,Capital Goods,GVT&D,GVT&D.NS
GMR Airports Ltd.,Services,GMRAIRPORT,GMRAIRPORT.NS
Glenmark Pharmaceuticals Ltd.,Healthcare,GLENMARK,GLENMARK.NS
Godfrey Phillips India Ltd.,Fast Moving Consumer Goods,GODFRYPHLP,GODFRYPHLP.NS
Godrej Consumer Products Ltd.,Fast Moving Consumer Goods,GODREJCP,GODREJCP.NS
Godrej Properties Ltd.,Realty,GODREJPROP,GODREJPROP.NS
Grasim Industries Ltd.,Construction Materials,GRASIM,GRASIM.NS
HCL Technologies Ltd.,Information Technology,HCLTECH,HCLTECH.NS
HDFC Asset Management Company Ltd.,Financial Services,HDFCAMC,HDFCAMC.NS
HDFC Bank Ltd.,Financial Services,HDFCBANK,HDFCBANK.NS
HDFC Life Insurance Company Ltd.,Financial Services,HDFCLIFE,HDFCLIFE.NS
Havells India Ltd.,Consumer Durables,HAVELLS,HAVELLS.NS
Hero MotoCorp Ltd.,Automobile and Auto Components,HEROMOTOCO,HEROMOTOCO.NS
Hindalco Industries Ltd.,Metals & Mining,HINDALCO,HINDALCO.NS
Hindustan Aeronautics Ltd.,Capital Goods,HAL,HAL.NS
Hindustan Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,HINDPETRO,HINDPETRO.NS
Hindustan Unilever Ltd.,Fast Moving Consumer Goods,HINDUNILVR,HINDUNILVR.NS
Hindustan Zinc Ltd.,Metals & Mining,HINDZINC,HINDZINC.NS
Hitachi Energy India Ltd.,Capital Goods,POWERINDIA,POWERINDIA.NS
Housing & Urban Development Corporation Ltd.,Financial Services,HUDCO,HUDCO.NS
Hyundai Motor India Ltd.,Automobile and Auto Components,HYUNDAI,HYUNDAI.NS
ICICI Bank Ltd.,Financial Services,ICICIBANK,ICICIBANK.NS
ICICI Lombard General Insurance Company Ltd.,Financial Services,ICICIGI,ICICIGI.NS
ICICI Prudential Asset Management Company Ltd.,Financial Services,ICICIAMC,ICICIAMC.NS
IDFC First Bank Ltd.,Financial Services,IDFCFIRSTB,IDFCFIRSTB.NS
ITC Ltd.,Fast Moving Consumer Goods,ITC,ITC.NS
Indian Bank,Financial Services,INDIANB,INDIANB.NS
Indian Hotels Co. Ltd.,Consumer Services,INDHOTEL,INDHOTEL.NS
Indian Oil Corporation Ltd.,Oil Gas & Consumable Fuels,IOC,IOC.NS
Indian Railway Catering And Tourism Corporation Ltd.,Consumer Services,IRCTC,IRCTC.NS
Indian Railway Finance Corporation Ltd.,Financial Services,IRFC,IRFC.NS
Indian Renewable Energy Development Agency Ltd.,Financial Services,IREDA,IREDA.NS
